Term;Explanation
Wx;Stands for Weapon. X stands for the in-game tier of the weapon. From top to bottom, W1, W2, W3.
Ex;Stands for Expertise. X stands for the in-game tier of the Expertise. From top to bottom, E1, E2, E3.
Px;Stands for Passive. X stands for the in-game tier of the Passive. From top to bottom, P1, P2, P3.
Chip;Synonyms: Perk, Upgrade. Give the user a buff on pickup until the end of game or when the upgrade is stolen by Larcin. Is usually paired with the rarity/color of the field upgrade they are referring to. For example, grey upgrade refers to an uncommon field upgrade and gold perk refers to a legendary field upgrade.
Perk;Synonyms: Chip, Upgrade. Give the user a buff on pickup until the end of game or when the upgrade is stolen by Larcin. Is usually paired with the rarity/color of the field upgrade they are referring to. For example, grey upgrade refers to an uncommon field upgrade and gold perk refers to a legendary field upgrade.
Upgrade;Synonyms: Chip, Perk. Give the user a buff on pickup until the end of game or when the upgrade is stolen by Larcin. Is usually paired with the rarity/color of the field upgrade they are referring to. For example, grey upgrade refers to an uncommon field upgrade and gold perk refers to a legendary field upgrade.
Scan;The ability of the briefcase holder to see enemy agents through walls. Estimated range for this ability is 100m. Is used by activating the nav-mode and drains intel while in use.
Wallhacks;Usually referring to 'Scan'. Could also refer to cheats that allow someone to see and/or shoot through walls.
Vulnerable;Amplifies damage taken by all sources by 30%. Lasts for 25 seconds. Note: it is sometimes referred to as 'Vuln'. Applied by: Ace's E2, Heartbroken. 
Traced;The player that applied the status effect is able to see the traced player including the cover in a red silhouette and through walls. Applied by: Recon Drone, Hacktraps, Cavalière's expertises (E1, E2 and E3) and Squire's P2.
Revealed;Is completely identical to traced, except it does not have a duration: it is based on a toggle mechanic. Applied by: the briefcase holder's ability. 
Broadcast;Regularly pings the player's position for everyone on the map, without showing, cover, agent, etc. Applied by: Briefcase Room if cover is broken.
Exposed;Prevents the player from getting their cover back. Note: cover drain and cover break do not apply exposed, but respectively slowly drain your cover and break it on the spot. Applied by: Yu-Mi's E1 and E3, Ace's P1 and the Briefcase Room, Octo's E3 if rival is out of cover, and reaching lvl 3 heat. 
Neutralized;It prevents the player from using their expertise. Applied by: Ace p3, Hans' E1 & E3, Octo's E3 if rival is out of cover.
Charmed;Restores cover to Rivals and applies this status. If a rival breaks their cover while charmed they become heartbroken. Applied by: Red E1 and E3. 
Heartbroken;Applies Neutralized and Vulnerable. Applied by: Red E1 and E3.
Invisible;Renders the user completely invisble and immune to detection and damage by any means. Applied by: Larcin's expertises (E1, E2, E3).
